fiscal_year,mineral_income
1922,NA
1923,NA
1924,870985.00
1925,239166.00
1926,3853258.00
1927,2553574.00
1928,2610078.00
1929,3860791.00
1930,2783594.00
1931,1379307.00
1932,1138256.00
1933,823279.00
1934,1164835.00
1935,882578.00
1936,1109137.00
1937,1994465.00
1938,2229969.00
1939,1442152.00
1940,1013950.00
1941,801727.00
1942,1314419.00
1943,3199056.00
1944,11741776.00
1945,4268662.00
1946,8804080.00
1947,6739767.00
1948,17225745.00
1949,12760878.00
1950,8685996.00
1951,16548902.00
1952,22973717.00
1953,33863915.00
1954,25381166.00
1955,23904671.00
1956,37262029.00
1957,21878250.00
1958,19122775.00
1959,24412251.00
1960,18728253.00
1961,16894705.00
1962,18897494.00
1963,17303554.00
1964,19592268.00
1965,28761915.00
1966,27359134.00
1967,16884138.00
1968,22279871.00
1969,21270775.00
1970,18843759.00
1971,20675728.00
1972,25127639.00
1973,26660223.00
1974,44827149.00
1975,67673277.00
1976,86343672.00
1977,91906261.00
1978,97212702.00
1979,90104942.00
1980,122641196.00
1981,261956967.00
1982,201600511.00
1983,157953236.00
1984,155626194.00
1985,138038973.00
1986,117335352.00
1987,81271404.00
1988,80330123.00
1989,71822299.00
1990,78474672.00
1991,89308214.00
1992,64641327.00
1993,69343475.00
1994,59621467.00
1995,57097453.00
1996,65687730.00
1997,85186775.00
1998,79533611.00
1999,54314071.00
2000,83141211.00
2001,115642869.00
2002,80511046.00
2003,102106990.00
2004,146666779.00
2005,193091624.00
2006,214954885.00
2007,272776273.00
2008,457757314.00
2009,340028457.00
2010,337876673.00
2011,895619264.00
2012,954493272.00
2013,856459417.00
2014,1129698003.00
2015,806672006.00
2016,512314806.00
2017,688733637.86
2018,1031825340.98
2019,1026115161.25
2020,770971505.11
2021,979179859.78
2022,2124541921.79
